id,category,title,author,fascicle,year,start_page,end_page,pdf_link
ANU-M-2019-10050900512,Otras Actividades Académicas. Crónica Académica,Disertaciones y participación en los coloquios,RACMYP,1,2019,00509,00512,abrir_pdf.php?id=ANU-M-2019-10050900512
ANU-M-2019-10001300020,Intervenciones Académicas. Ciencias Políticas y Jurídicas,En el centenario de 1919 (Las consecuencias políticas de la paz),Miguel Herrero y Rodríguez de Miñón,1,2019,00013,00020,abrir_pdf.php?id=ANU-M-2019-10001300020
ANU-M-2019-10002100050,Intervenciones Académicas. Ciencias Políticas y Jurídicas,El duro camino de la Legión hacia su centenario,Agustín Muñoz-Grandes Galilea,1,2019,00021,00050,abrir_pdf.php?id=ANU-M-2019-10002100050
ANU-M-2019-10005100068,Intervenciones Académicas. Ciencias Políticas y Jurídicas,La sentencia del “procés”,Santiago Muñoz Machado,1,2019,00051,00068,abrir_pdf.php?id=ANU-M-2019-10005100068
ANU-M-2019-10006900078,Intervenciones Académicas. Ciencias Políticas y Jurídicas,Reformas institucionales hacia un Gobierno estable,Rodolfo Martín Villa,1,2019,00069,00078,abrir_pdf.php?id=ANU-M-2019-10006900078
ANU-M-2019-10007900100,Intervenciones Académicas. Ciencias Políticas y Jurídicas,Acción exterior de las Comunidades Autónomas: las delegaciones catalanas,Araceli Mangas Martín,1,2019,00079,00100,abrir_pdf.php?id=ANU-M-2019-10007900100
ANU-M-2019-10010100120,Intervenciones Académicas. Ciencias Políticas y Jurídicas,El “procés” que viene de lejos. Notas sobre su génesis y desarrollo,Francesc de Carreras Serra,1,2019,00101,00120,abrir_pdf.php?id=ANU-M-2019-10010100120
ANU-M-2019-10012100156,Intervenciones Académicas. Ciencias Políticas y Jurídicas,Las garantías parlamentarias en la experiencia constitucional española,Pablo Lucas Murillo de la Cueva,1,2019,00121,00156,abrir_pdf.php?id=ANU-M-2019-10012100156
ANU-M-2019-10015700164,Intervenciones Académicas. Ciencias Sociales,La celebración de un recuerdo,Carmelo Lisón Tolosana,1,2019,00157,00164,abrir_pdf.php?id=ANU-M-2019-10015700164
ANU-M-2019-10016500182,Intervenciones Académicas. Ciencias Sociales,La política europea ante los nuevos desafíos de China,Marcelino Oreja Aguirre,1,2019,00165,00182,abrir_pdf.php?id=ANU-M-2019-10016500182
ANU-M-2019-10018300198,Intervenciones Académicas. Ciencias Sociales,El pasado democrático español,Alejandro Nieto García,1,2019,00183,00198,abrir_pdf.php?id=ANU-M-2019-10018300198
ANU-M-2019-10019900226,Intervenciones Académicas. Ciencias Sociales,El acoso,Fernando Suárez González,1,2019,00199,00226,abrir_pdf.php?id=ANU-M-2019-10019900226
ANU-M-2019-10022700246,Intervenciones Académicas. Ciencias Sociales,"Crear, creer, curar. Semejanzas como procesos humanos",Ricardo Sanmartín Arce,1,2019,00227,00246,abrir_pdf.php?id=ANU-M-2019-10022700246
ANU-M-2019-10024700276,Intervenciones Académicas. Ciencias Sociales,La idea de Dios como objeto y garante de la ciencia. Secularización y pseudosecularización del conocimiento,Emilio Lamo de Espinosa,1,2019,00247,00276,abrir_pdf.php?id=ANU-M-2019-10024700276
ANU-M-2019-10027700302,Intervenciones Académicas. Ciencias Sociales,"Renacimiento: luces y sombras (las formas de la cultura europea, I)",Benigno Pendás García,1,2019,00277,00302,abrir_pdf.php?id=ANU-M-2019-10027700302
ANU-M-2019-10030300326,Intervenciones Académicas. Ciencias Sociales,La reforma educativa en España,Juan Díez Nicolás,1,2019,00303,00326,abrir_pdf.php?id=ANU-M-2019-10030300326
ANU-M-2019-10032700344,Intervenciones Académicas. Ciencias Sociales,Las principales amenazas a la democracia liberal,Fernando Vallespín Oña,1,2019,00327,00344,abrir_pdf.php?id=ANU-M-2019-10032700344
ANU-M-2019-10034500366,Intervenciones Académicas. Ciencias Económicas,Papel de las Escuelas de Ingenieros en la economía española,Juan Velarde Fuertes,1,2019,00345,00366,abrir_pdf.php?id=ANU-M-2019-10034500366
ANU-M-2019-10036700394,Intervenciones Académicas. Ciencias Económicas,Cómo superar la pandemia. Algunas reflexiones y propuestas,Ramón Tamames Gómez,1,2019,00367,00394,abrir_pdf.php?id=ANU-M-2019-10036700394
ANU-M-2019-10039500412,Intervenciones Académicas. Ciencias Filosóficas,La libertad creativa y sus cuatro grados,Alfonso López Quintás,1,2019,00395,00412,abrir_pdf.php?id=ANU-M-2019-10039500412
ANU-M-2019-10041300458,Intervenciones Académicas. Ciencias Filosóficas,Notas del confinamiento,Dalmacio Negro Pavón,1,2019,00413,00458,abrir_pdf.php?id=ANU-M-2019-10041300458
ANU-M-2019-10045900478,Intervenciones Académicas. Ciencias Filosóficas,El retorno de la retórica,Gregorio Robles Morchón,1,2019,00459,00478,abrir_pdf.php?id=ANU-M-2019-10045900478
ANU-M-2019-10047900486,Otras Actividades Académicas. Nuevos ingresos,Extracto del Discurso de Ingreso: Miguel García-Baró López: La metafísica y la prudencia,Miguel García-Baró López,1,2019,00479,00486,abrir_pdf.php?id=ANU-M-2019-10047900486
ANU-M-2019-10048700489,Otras Actividades Académicas. Actos públicos,Ciclo de conferencias,RACMYP,1,2019,00487,00489,abrir_pdf.php?id=ANU-M-2019-10048700489
ANU-M-2019-10048900490,Otras Actividades Académicas. Actos públicos,Presentación de libros,RACMYP,1,2019,00489,00490,abrir_pdf.php?id=ANU-M-2019-10048900490
ANU-M-2019-10049100492,Otras Actividades Académicas. Actos públicos,Seminarios,RACMYP,1,2019,00491,00492,abrir_pdf.php?id=ANU-M-2019-10049100492
